bar_id	start_node	x1	y1	z1	end_node	x2	y2	z2	L	storey
2251	2126	34.53554686	19.61074825	6	2111	38.789	18.177	6	4.48859640183364	2F
2275	2209	35.453	22.334	6	2208	36.329	24.936	6	2.74550177563228	2F
2276	2208	36.329	24.936	6	2279	37.78669537	29.26283708	6	4.56578524556098	2F
2001	2103	40.35	20.684	6	2001	44.7135	18.565	6	4.85080336130007	2F
2002	2001	44.7135	18.565	6	2101	49.077	16.446	6	4.85080336130007	2F
2003	673	50.831	21.519	6	2002	46.11795198	22.62950097	6	4.84211049473232	2F
2004	2002	46.11795198	22.62950097	6	2033	41.40107446	23.74090426	6	4.84604486274159	2F
2005	2253	41.759	28.414	6	2003	46.78274959	27.34048089	6	5.13716879443925	2F
2006	2003	46.78274959	27.34048089	6	2021	51.811	26.266	6	5.14177122873435	2F
2011	2253	41.759	28.414	6	671	46.43175052	24.86256538	6	5.86918097201772	2F
2012	671	46.43175052	24.86256538	6	673	50.831	21.519	6	5.52565158489158	2F
2007	2002	46.11795198	22.62950097	6	671	46.43175052	24.86256538	6	2.255004696872	2F
2008	671	46.43175052	24.86256538	6	2003	46.78274959	27.34048089	6	2.50265171804616	2F
32	2035	16.62	35.662	6	23257	17.199	36.377	6	0.920035868865995	2F
47	23257	17.199	36.377	6	23549	18.0378644	37.16634976	6	1.15185351724923	2F
95	128	19.73607712	34.35166593	6	2218	20.073	34.708	6	0.490398813732518	2F
98	2099	20.705	39.14	6	51	22.94454417	36.67555404	6	3.3300228196127	2F
178	51	22.94454417	36.67555404	6	2221	23.923	37.11	6	1.07056952292755	2F
100508	23255	8.789	42.999	6	23253	12.556	40.035	6	4.79328540773445	2F
100509	23253	12.556	40.035	6	23257	17.199	36.377	6	5.91087243983492	2F
100511	23260	11.508	46.449	6	23150	16.035	42.82	6	5.80201430539429	2F
100512	23150	16.035	42.82	6	2099	20.705	39.14	6	5.94569592226175	2F
100514	23261	14.32	50.02	6	23259	18.087	47.056	6	4.79328540773445	2F
100515	23259	18.087	47.056	6	23251	22.014	43.962	6	4.9994164659488	2F
100516	23251	22.014	43.962	6	2064	25.939	40.867	6	4.99846476430513	2F
100517	23254	18.839	55.755	6	23258	22.603	52.79	6	4.79154682748692	2F
100518	23258	22.603	52.79	6	23256	26.53	49.696	6	4.9994164659488	2F
100519	23256	26.53	49.696	6	23252	30.457	46.602	6	4.9994164659488	2F
100520	2122	29.56150841	45.46659966	6	23252	30.457	46.602	6	1.44604257192963	2F
100521	23255	8.789	42.999	6	23260	11.508	46.449	6	4.39265990033374	2F
100522	23260	11.508	46.449	6	23261	14.32	50.02	6	4.54525961854766	2F
100523	23261	14.32	50.02	6	23254	18.839	55.755	6	7.30147834345895	2F
100526	23253	12.556	40.035	6	23150	16.035	42.82	6	4.45641851715029	2F
100527	23150	16.035	42.82	6	23259	18.087	47.056	6	4.70684607778925	2F
100528	23259	18.087	47.056	6	23258	22.603	52.79	6	7.29883634561017	2F
100529	23251	22.014	43.962	6	23256	26.53	49.696	6	7.29883634561017	2F
